id,sex,repro,readsite,night,month,year,first_time,time_spent_action,mean_time_bout,sd_time_bout,n,,07:00 p. m.,06:00 a. m.
*989001003024644,female,lactating,carmen,01/06/2015,May,2015,19H 47M 52S,foraging,5297,NA,1,,,
*989001005064989,female,pregnant,carmen,22/04/2016,Apr,2016,19H 29M 21S,roosting,40749,66794.41846,4,,,
*989001003024644,female,lactating,carmen,02/06/2015,Jun,2015,19H 49M 3S,foraging,13473.5,14763.68248,2,,,
*989001005064930,female,pregnant,carmen,22/04/2016,Apr,2016,21H 4M 36S,roosting,40501.5,43958.70727,2,,,
*989001003024646,female,lactating,carmen,22/05/2015,May,2015,20H 3M 37S,foraging,7926,11165.21607,2,,,
*989001003024644,female,lactating,carmen,02/06/2015,Jun,2015,19H 49M 3S,roosting,40380,55646.47525,2,,,
*989001003024646,female,lactating,carmen,24/05/2015,May,2015,19H 52M 33S,foraging,29933,NA,1,,,
*989001005527048,female,lactating,carmen,22/04/2016,Apr,2016,20H 1M 12S,roosting,40349.75,67060.92872,4,,,
*989001003024646,female,lactating,carmen,25/05/2015,May,2015,19H 55M 37S,foraging,28470,NA,1,,,
*989001005527081,female,pregnant,carmen,24/04/2016,Apr,2016,19H 37M 57S,roosting,40029,41347.36192,2,,,
*989001003024646,female,lactating,carmen,26/05/2015,May,2015,19H 56M 42S,foraging,4480,6749.148065,6,,,
*989001005064945,female,pregnant,carmen,22/04/2016,Apr,2016,20H 14M 25S,roosting,39909.5,39090.98418,2,,,
*989001003024646,female,lactating,carmen,27/05/2015,May,2015,19H 54M 54S,foraging,8448.5,11894.24317,2,,,
*989001005064919,female,pregnant,carmen,18/04/2016,Apr,2016,21H 22M 31S,roosting,39901,39589.49447,2,,,
*989001003024646,female,lactating,carmen,28/05/2015,May,2015,19H 54M 32S,foraging,29789,NA,1,,,
*989001005527118,female,non,carmen,24/04/2016,Apr,2016,19H 50M 59S,roosting,39878,33129.36691,2,,,
*989001003024646,female,lactating,carmen,29/05/2015,May,2015,19H 51M 14S,foraging,15369,2583.768178,2,,,
*989001005527032,female,pregnant,carmen,23/04/2016,Apr,2016,21H 30M 33S,roosting,39757.5,40457.11449,2,,,
*989001003024646,female,lactating,carmen,30/05/2015,May,2015,19H 54M 25S,foraging,30686,NA,1,,,
*989001003024562,female,non,carmen,26/05/2015,May,2015,20H 37M 58S,roosting,39410.5,27402.50909,2,,,
*989001003024646,female,lactating,carmen,31/05/2015,May,2015,19H 55M 18S,foraging,14696,15501.19486,2,,,
